year,Baltic,Caucasus,Central Asia,Eastern European
2000,0.054294958930120645,0.07223435013973216,0.24485909738294165,0.1318642357107275
2001,0.03675643009462219,0.06917988682924306,0.24680928563034396,0.12550912129755046
2002,0.05007016356291064,0.06416087950555434,0.2360346951091658,0.10884600989122033
2003,0.03984116960231641,0.0390968697339925,0.21223462375268068,0.11016559162637608
2004,0.07835108271320267,0.1524728935384858,0.2073417822787726,0.1207835437431119
2005,0.08008295149766047,0.15450273521534894,0.1846356828926918,0.11030554465816568
2006,0.08957236027296804,0.16068374884905887,0.15929779634915117,0.08499945826532762
2007,0.1068927903985228,0.1308722711077671,0.14114818803759005,0.0694269537776459
2008,0.08674518702393312,0.10928462192133237,0.12548979009930425,0.059673094432633564
2009,0.08025252675282499,0.11711350160237552,0.1418312289861918,0.07385111853066698
2010,0.11528279903945428,0.1146715560369693,0.159503202345867,0.07707858947174666
2011,0.09457392369315318,0.1059236731099466,0.17335127352499402,0.05273307280176218
2012,0.05066006972054656,0.13011127154912835,0.17112549187385498,0.046807072326535366
2013,0.021427242343048488,0.12611422202447015,0.1533562626265216,0.054760760778188644
2014,0.03436725434348021,0.14316062906537005,0.13881864518556639,0.09238904819383592
2015,0.04350682084271136,0.15865806598986476,0.13438029894956832,0.12559355194178382
2016,0.041871466106142355,0.1568495931080242,0.12086154646506639,0.1261970266252889
2017,0.03164110266672874,0.15640114798884205,0.10951876026568927,0.13454345010061114
2018,0.017728035681012437,0.14359262086170124,0.09837236678284547,0.15846215866185537
2019,0.01836523195985126,0.1158512139552729,0.07982495869323208,0.16041616214279644
2020,0.03279808458524251,0.10043417697218486,0.023832180648340823,0.16261410026187023
2021,0.08611769669054338,0.0866783725320579,0.060891354789545014,0.17479120958528166
2022,0.07419182804019588,0.03976185595605206,0.07799598592936346,0.24875738384512364
2023,0.06376939215877973,0.04123093655148099,0.0947850560405272,0.24116101790624128
