IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",51,"2000",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.469829
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",52,"2001",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.402
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",53,"2002",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.405
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",54,"2003",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.472834
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",55,"2004",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.490542
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",56,"2005",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.492145
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",57,"2006",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.494005
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",58,"2007",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.519056
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",59,"2008",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.541028
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",60,"2009",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.574183
