country,year,urban_pop_pct
Armenia,2000,64.959237917436
Armenia,2001,64.8228123790872
Armenia,2002,64.7396211980252
Armenia,2003,64.6663537455064
Armenia,2004,64.5972633621116
Armenia,2005,64.5334210637509
Armenia,2006,64.4758978663344
Armenia,2007,64.4257647857723
Armenia,2008,64.3840928379746
Armenia,2009,64.3519530388516
Armenia,2010,64.3304164043132
Armenia,2011,64.3207449145194
Armenia,2012,64.3268379506998
Armenia,2013,64.3584061131466
Armenia,2014,64.4142934233291
Armenia,2015,64.4929623431549
Armenia,2016,64.5928753345316
Armenia,2017,64.7124948593667
Armenia,2018,64.8502833795679
Armenia,2019,65.0047033570428
Armenia,2020,65.174217253699
Armenia,2021,65.3572875314441
Armenia,2022,65.5624462874485
Armenia,2023,65.6956882008852
Azerbaijan,2000,51.1320838928223
Azerbaijan,2001,51.1584815979004
Azerbaijan,2002,51.2144165039062
Azerbaijan,2003,51.7257995605469
Azerbaijan,2004,52.2831993103027
Azerbaijan,2005,52.5028533935547
Azerbaijan,2006,52.6540145874023
Azerbaijan,2007,52.8281555175781
Azerbaijan,2008,53.063304901123
Azerbaijan,2009,53.1358125434574
Azerbaijan,2010,53.2848367714869
Azerbaijan,2011,53.5085461893249
Azerbaijan,2012,53.8076442276208
Azerbaijan,2013,54.1821087431318
Azerbaijan,2014,54.6319175926151
Azerbaijan,2015,55.1570486328276
Azerbaijan,2016,55.7574797205266
Azerbaijan,2017,56.4331887124691
Azerbaijan,2018,57.1841534654123
Azerbaijan,2019,58.1308191977779
Azerbaijan,2020,58.2934691761937
Azerbaijan,2021,58.3659969744818
Azerbaijan,2022,58.4382815854684
Azerbaijan,2023,58.5075350483702
Belarus,2000,69.9172295434732
Belarus,2001,70.3147201538086
Belarus,2002,70.8804702758789
Belarus,2003,71.3092422485352
Belarus,2004,71.7658538818359
Belarus,2005,72.0310134887695
Belarus,2006,72.6113815307617
Belarus,2007,73.0913467407227
Belarus,2008,73.5531692504883
Belarus,2009,74.1909646620571
Belarus,2010,74.5501403808594
Belarus,2011,75.0597534179688
Belarus,2012,75.5281066894531
Belarus,2013,75.94970703125
Belarus,2014,76.3405227661133
Belarus,2015,76.6263885498047
Belarus,2016,76.8458709716797
Belarus,2017,77.0208206176758
Belarus,2018,77.2132720947266
Belarus,2019,77.4550771852757
Belarus,2020,77.7890385790408
Belarus,2021,78.131086803694
Belarus,2022,78.4732787892908
Belarus,2023,78.8146420666327
Estonia,2000,67.385529072627
Estonia,2001,67.3926456349791
Estonia,2002,67.4090870965661
Estonia,2003,67.4341760348669
Estonia,2004,67.467351453949
Estonia,2005,67.5080523578799
Estonia,2006,67.5557177507269
Estonia,2007,67.6097866365576
Estonia,2008,67.6696980194394
Estonia,2009,67.7348909034398
Estonia,2010,67.8048042926262
Estonia,2011,67.8775556334506
Estonia,2012,67.9629593320316
Estonia,2013,68.0923458296768
Estonia,2014,68.2668382808032
Estonia,2015,68.4796609690553
Estonia,2016,68.724038178078
Estonia,2017,68.9931941915158
Estonia,2018,69.2803532930133
Estonia,2019,69.5787397662154
Estonia,2020,69.8815778947665
Estonia,2021,70.1777274135822
Estonia,2022,70.4892333736738
Estonia,2023,70.6770085523126
Georgia,2000,52.4935999592259
Georgia,2001,52.4098165040349
Georgia,2002,52.4127676027039
Georgia,2003,52.5144705663341
Georgia,2004,52.7173199317225
Georgia,2005,53.0036280624359
Georgia,2006,53.3593916521584
Georgia,2007,53.7706073945741
Georgia,2008,54.2232719833673
Georgia,2009,54.7033821122222
Georgia,2010,55.1969344748228
Georgia,2011,55.6899257648533
Georgia,2012,56.1683526759979
Georgia,2013,56.6182119019407
Georgia,2014,57.0237612994258
Georgia,2015,57.3803800455672
Georgia,2016,57.6984032005062
Georgia,2017,57.9996827205757
Georgia,2018,58.3038181862576
